Algorithm,Data,MAE_1,MAPE_1,MAE_2,MAPE_2,MAE_3,MAPE_3
SVR,Solana,2.2613114357079573,0.024917831881378427,-1.0,-1.0,2.5412064942921417,0.027386397633910382
LassoCV,Solana,3.4787839797524907,0.03735545941154235,3.8172019601044562,0.04121188459158687,3.817968566667081,0.04130487197031855
Linear,Solana,3.5254481552947032,0.037759200579735766,3.420022563397543,0.03679599278508006,4.228491904999008,0.04540278232909737
